ano,ementa,classe,id_prop
2011,"Declara de utilidade pública a ""Sociedade Unidos da Melhor Idade de Laranjal Paulista"", naquele Município.",favorável,1006895
2011,"Apela para os Srs. Presidentes da Câmara dos Deputados e do Senado Federal, bem como para os líderes partidários, afim de que empreendam esforços para que o Projeto de Lei nº 757/2011, que institui o Cultura Viva - Programa Nacional de Cultura, Educação e Cidadania, seja apreciado e aprovado com a máxima brevidade possível.",favorável,1040463
2011,"Declara de utilidade pública a ""Organização Não Governamental Vidas Recicladas"", em Santos.",favorável,1019846
2011,"Declara de utilidade pública a ""Casa de Apoio ao Paciente Oncológico CAPO - CASA GE"", em Caçapava.",favorável,1004831
2011,"Apela para a Sra. Presidente da República para que sancione a lei decorrente da aprovação do PL 5228/09, no sentido de garantir o fim do ""sigilo eterno de documentos"" e o acesso pleno às informações pelos cidadãos.",favorável,1022949
2011,"Apela para a Sra. Presidente da República e para os Srs. Presidentes do Senado Federal e da Câmara dos Deputados a fim de que aprovem o PLC 319/2009, que regulariza o exercício da profissão dos Trabalhadores em Transportes Rodoviários do Estado de São Paulo.",favorável,1025284
2011,"Apela para a Sra. Presidenta da Republica e para os Srs. Presidentes do Senado Federal e da Câmara dos Deputados bem como para os líderes partidários, a fim de que tomem as providências administrativas e legislativas necessárias para que os estabelecimentos de saúde públicos e particulares sejam obrigados  a, imediatamente após cada nascimento ocorrido em suas dependências, comunicá-lo a um cartório de Registro Civil de Pessoas Naturais competente.(SUGESTÃO LEGISLATIVA DE MARCO AURÉLIO DA CRUZ)",favorável,1043682
2011,"Obriga os hospitais estaduais, hospitais particulares e postos de atendimento de comunicarem imediatamente a autoridade policial para  lavrar boletim de ocorrência quando do atendimento de pessoas com ferimentos provocados por projéteis de arma de fogo, arma branca ou similares.",favorável,1029140
2011,"Apela a Sra. Presidente da República a fim de que tome as providências cabíveis para que o serviço de carro-forte tão necessário ao sistema bancário esteja em consonância com os princípios da boa convivência urbana, a fim de não atrapalhar o trânsito.",favorável,1029916
2011,"Declara de utilidade pública a ""Associação Beneficente Semente do Bem"", em Mogi das Cruzes.",favorável,1043013
2011,"Apela para os Srs. Presidentes do Senado Federal e da Câmara dos Deputados, bem como para os Líderes partidários, a fim de que empreendam esforços para que a Proposta de Emenda à Constituição nº 393, de 2001, que dispõe sobre a redução de jornada de trabalho e o aumento do valor mínimo da hora extraordinária, seja apreciada e aprovada com a maior urgência.",favorável,1019544
2011,"Declara de utilidade pública a ""Associação Mauaense de Assistência e Apoio aos Deficientes Visuais - AMADEVI"", em Mauá.",favorável,1014946
2011,"Aplaude a Sociedade Bíblica do Brasil pela dedicação e trabalho de evangelização pelo mundo, por ter completado até hoje a produção de mais de 100 milhões de exemplares da Bíblia Sagrada, trazendo a todos a Palavra de Deus - viva, infalível, eterna - totalmente fidedigna, que norteia as decisões, sacia a fome do coração e preenche as lacunas da alma.",favorável,1018075
2011,"Declara de utilidade pública a ""Associação Cultural Comunitária Pró-Morato"", em Francisco Morato.",favorável,1061311
